track_spotifyID,artist_spotifyID,artist_mbid,artist_name,track_url,track_popularity,track_duration_ms,track_is_local,albumID,album_track_number,album_release_date,album_type
7oK9VyNzrYvRFo7nQEYkWN,0C0XlULifJtAgn6ZNCW2eu,95e1ead9-4d31-4808-a7ac-32c3614c116b,The Killers,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN,76,222586,False,4undIeGmofnAYKhnDclN1w,2,2004-06-15,album
2xGjteMU3E1tkEPVFBO08U,7HV2RI2qNug4EcQqLbCAKS,ad4653bc-ad04-4a41-a6cc-477ebe5cd96c,Keala Settle,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U,66,234706,False,7zeegKviS9AGeoEenSdO6I,1,2017-10-27,single
2xGjteMU3E1tkEPVFBO08U,63nv0hWWDob56Rk8GlNpN8,,The Greatest Showman Ensemble,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U,66,234706,False,7zeegKviS9AGeoEenSdO6I,1,2017-10-27,single
14mHfNsSHN0FbLftyjrV9g,2HUwZ0kumzCSlhFcjFZfpp,,Flipp Dinero,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,76,195637,False,4TUZUtCiZB4PYIoX20bOeX,1,2018-09-04,single
7ef4DlsgrMEH11cDZd32M6,7CajNmpbOovFoOoasH2HaY,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,Calvin Harris,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,83,214846,False,7GEzhoTiqcPYkOprWQu581,1,2018-04-06,single
7ef4DlsgrMEH11cDZd32M6,6M2wZ9GZgrQXHCFfjv46we,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,Dua Lipa,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,83,214846,False,7GEzhoTiqcPYkOprWQu581,1,2018-04-06,single
38zwkK6TtTjIW9tpYBfZ3D,2ysnwxxNtSgbb9t1m2Ur4j,2c5e2a98-d9ea-46b5-9618-d9bb4863a920,George Ezra,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D,72,222044,False,2NaulYO6lGXTyIzWTJvRJj,5,2018-03-23,album
3ee8Jmje8o58CHK66QrVC2,15UsOTVnJzReFVN1VCnxy4,61af87f4-16ee-4431-8504-cc06187079fb,XXXTENTACION,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,85,166605,False,2Ti79nwTsont5ZHfdxIzAm,4,2018-03-16,album
7x91w5f5x7UayENcGAP5i2,4GNC7GD6oZMSxPGyXy4MNB,526aab94-697f-44a9-b630-41d1c0505953,Lewis Capaldi,https://open.spotify.com/track/7x91w5f5x7UayENcGAP5i2,60,218492,False,16KEH0BV7yvLKZz6uG7Hoc,1,2017-06-19,single
7ITXKzRU7eqcRwF2YXZj8b,7jLSEPYCYQ5ssWU3BICqrW,7ee64b1b-23d4-41bd-9857-5cce6e08ed62,Picture This,https://open.spotify.com/track/7ITXKzRU7eqcRwF2YXZj8b,57,200680,False,1gYWVzP2slTLbR9x60wQ1w,3,2019-02-15,album
4PIrQHxXlHlSXKoKd2nuxE,4oDjh8wNW5vDHyFRrDYC4k,09589937-20f0-40f8-a473-b22a0bac9ce5,Loyle Carner,https://open.spotify.com/track/4PIrQHxXlHlSXKoKd2nuxE,52,256198,False,7hRNnuQNzdUQaA3plbqsu5,1,2019-02-28,single
4PIrQHxXlHlSXKoKd2nuxE,1CoZyIx7UvdxT5c8UkMzHd,d62614aa-ef2c-44cd-8a7b-91292755a1d0,Jorja Smith,https://open.spotify.com/track/4PIrQHxXlHlSXKoKd2nuxE,52,256198,False,7hRNnuQNzdUQaA3plbqsu5,1,2019-02-28,single
1xzBco0xcoJEDXktl7Jxrr,2RDOrhPqAM4jzTRCEb19qX,,Sheck Wes,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,80,183906,False,15Id9Jrqab8IwHFirdrrLp,9,2018-10-05,album
6zeeWid2sgw4lap2jV61PZ,6LuN9FCkKOj5PcnpouEgny,28737730-ec70-4da5-89c5-77ac13c5c34d,Khalid,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,78,229320,False,2Qxc2NJ7yPKVFRWi3llRr2,6,2018-10-18,album
2qxmye6gAegTMjLKEBoR3d,5IH6FPUwQTxPSXurCrcIov,21a14ee3-cede-420a-9d6d-a33517d2f952,Alec Benjamin,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,84,169353,False,6jKZplJpy21R5lHaYHHjmZ,4,2018-11-16,album
78QR3Wp35dqAhFEc2qAGjE,5f7VJjfbwm532GiveGC0ZK,d42a5768-ada1-4fb6-85fd-f61aba6264e0,Lil Baby,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,83,145542,False,2yXnY2NiaZk9QiJJittS81,12,2018-10-05,album
